portfolio,minister,tookOffice,leftOffice,party
Prime Minister,Indira Gandhi,24-Jan-1966,15-Mar-1971,INC (R)
Minister of Finance,Sachindra Chaudhuri,24-Jan-1966,13-Mar-1967,INC
Minister of Finance,Morarji Desai,13-Mar-1967,16-Jul-1969,INC (R)
Minister of Home Affairs,Gulzarilal Nanda,24-Jan-1966,14-Nov-1966,INC
Minister of Home Affairs,Yashwantrao Chavan,14-Nov-1966,27-Jun-1970,INC (R)
Minister of External Affairs,Sardar Swaran Singh,24-Jan-1966,14-Nov-1966,INC
Minister of External Affairs,M. C. Chagla,14-Nov-1966,5-Sep-1967,INC
Minister of External Affairs,Indira Gandhi,6-Sep-1967,13-Feb-1969,INC (R)
Minister of External Affairs,Dinesh Singh,13-Feb-1969,27-Jun-1970,INC (R)
Minister of External Affairs,Sardar Swaran Singh,27-Jun-1970,1-Jan-1974,INC (R)
Minister of Defence,Yashwantrao Chavan,14-Nov-1962,14-Nov-1966,INC
Minister of Defence,Sardar Swaran Singh,1-Jan-1974,1-Jan-1976,INC (R)
Minister of Railways,S. K. Patil,24-Jan-1966,12-Mar-1967,INC
Minister of Railways,C. M. Poonacha,13-Mar-1967,14-Feb-1969,INC (R)
Minister of Railways,Ram Subhag Singh,14-Feb-1969,4-Nov-1969,INC (R)
Minister of Railways,Panampilly Govinda Menon,4-Nov-1969,18-Feb-1970,INC (R)
Minister of Railways,Gulzarilal Nanda,18-Feb-1970,17-Mar-1971,INC (R)
Minister of Information and Broadcasting,Kodardas Kalidas Shah,24-Jan-1966,15-Mar-1971,INC (R)
Minister of Agriculture,M. S. Gurupadaswamy,6-Sep-1967,13-Feb-1969,INC (R)
Minister of Health,Sushila Nayyar,14-Nov-1966,27-Jun-1970,INC
Minister of Parliamentary Affairs,Satya Narayan Sinha,13-May-1952,13-Mar-1967,INC
Minister of Parliamentary Affairs,Ram Subhag Singh,13-Mar-1967,14-Feb-1969,INC (R)
Minister of Education,M. C. Chagla,24-Jan-1966,13-Nov-1966,INC
Minister of Education,Fakhruddin Ali Ahmed,14-Nov-1966,13-Mar-1967,INC (R)
Minister of Education,Triguna Sen,16-Mar-1967,18-Mar-1971,INC (R)
