portfolio,minister,tookOffice,leftOffice,party
Prime Minister,Indira Gandhi,24-Jan-1966,15-Mar-1971,INC (R)
Minister of Finance,Sachindra Chaudhuri,24-Jan-1966,13-Mar-1967,INC
Minister of Finance,Morarji Desai,13-Mar-1967,16-Jul-1969,INC (R)
Minister of Home Affairs,Gulzarilal Nanda,24-Jan-1966,14-Nov-1966,INC
Minister of Home Affairs,Yashwantrao Chavan,14-Nov-1966,27-Jun-1970,INC (R)
Minister of External Affairs,Sardar Swaran Singh,24-Jan-1966,14-Nov-1966,INC
Minister of External Affairs,M. C. Chagla,14-Nov-1966,5-Sep-1967,INC
Minister of External Affairs,Indira Gandhi,6-Sep-1967,13-Feb-1969,INC (R)
Minister of External Affairs,Dinesh Singh,13-Feb-1969,27-Jun-1970,INC (R)
Minister of External Affairs,Sardar Swaran Singh,27-Jun-1970,1-Jan-1974,INC (R)
Minister of Defence,Yashwantrao Chavan,14-Nov-1962,14-Nov-1966,INC
Minister of Defence,Sardar Swaran Singh,1-Jan-1974,1-Jan-1976,INC (R)
Minister of Railways,S. K. Patil,24-Jan-1966,12-Mar-1967,INC
Minister of Railways,C. M. Poonacha,13-Mar-1967,14-Feb-1969,INC (R)
Minister of Railways,Ram Subhag Singh,14-Feb-1969,4-Nov-1969,INC (R)
Minister of Railways,Panampilly Govinda Menon,4-Nov-1969,18-Feb-1970,INC (R)
Minister of Railways,Gulzarilal Nanda,18-Feb-1970,17-Mar-1971,INC (R)
Minister of Information and Broadcasting,Kodardas Kalidas Shah,24-Jan-1966,15-Mar-1971,INC (R)
Minister of Agriculture,M. S. Gurupadaswamy,6-Sep-1967,13-Feb-1969,INC (R)
Minister of Health,Sushila Nayyar,14-Nov-1966,27-Jun-1970,INC
Minister of Parliamentary Affairs,Satya Narayan Sinha,13-May-1952,13-Mar-1967,INC
Minister of Parliamentary Affairs,Ram Subhag Singh,13-Mar-1967,14-Feb-1969,INC (R)
Minister of Education,M. C. Chagla,24-Jan-1966,13-Nov-1966,INC
Minister of Education,Fakhruddin Ali Ahmed,14-Nov-1966,13-Mar-1967,INC (R)
Minister of Education,Triguna Sen,16-Mar-1967,18-Mar-1971,INC (R)
Prime Minister,Indira Gandhi,15-Mar-1971,24-Mar-1977,INC (R)
Minister of Finance,Yashwantrao Chavan,27-Jun-1970,10-Oct-1974,INC (R)
Minister of Finance,Chidambaram Subramaniam,21-Dec-1975,24-Mar-1977,INC (R)
Minister of Home Affairs,Indira Gandhi,15-Mar-1971,4-Feb-1973,INC (R)
Minister of Home Affairs,Uma Shankar Dikshit,4-Feb-1973,10-Oct-1974,INC (R)
Minister of Home Affairs,Kasu Brahmananda Reddy,10-Oct-1974,24-Mar-1977,INC (R)
Minister of External Affairs,Sardar Swaran Singh,15-Mar-1971,10-Oct-1974,INC (R)
Minister of External Affairs,Yaswantrao Chavan,10-Oct-1974,24-Mar-1977,INC (R)
Minister of Defence,Jagjivan Ram,27-Jun-1970,10-Oct-1974,INC (R)
Minister of Defence,Sardar Swaran Singh,10-Oct-1974,21-Dec-1975,INC (R)
Minister of Defence,Indira Gandhi,11-Feb-1975,21-Dec-1975,INC (R)
Minister of Defence,Bansi Lal,21-Dec-1975,24-Mar-1977,INC (R)
Minister of Railways,K. Hanumanthaiya,18-Mar-1971,22-Jul-1972,INC (R)
Minister of Railways,T. M. A. Pai,23-Jul-1972,4-Feb-1973,INC (R)
Minister of Railways,Lalit Narayan Mishra,5-Feb-1973,2-Jan-1975,INC (R)
Minister of Railways,Kamalapati Tripathi,11-Feb-1975,23-Mar-1977,INC (R)
Minister of Information and Broadcasting,Indira Gandhi,15-Mar-1971,10-Oct-1974,INC (R)
Minister of Information and Broadcasting,Inder Kumar Gujral,11-Feb-1975,21-Dec-1975,INC (R)
Minister of Information and Broadcasting,Vidya Charan Shukla,11-Feb-1975,23-Mar-1977,INC (R)
Minister of Steel and Mines,Mohan Kumaramangalam,18-Mar-1971,30-May-1973,INC (R)
Minister of Parliamentary Affairs,Raj Bahadur,18-Mar-1971,5-Feb-1973,INC (R)
Minister of Parliamentary Affairs,Kotha Raghuramaiah,5-Feb-1973,24-Mar-1977,INC (R)
