No,Name,portrait,enteredOffice,Left office,Birth,Death,party,electionYear,id
1,Jawaharlal Nehru,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Jnehru.jpg/100px-Jnehru.jpg,15-Aug-47,27 May 1964 1,14-Nov-1889,27-May-64,Indian National Congress,1951,1
1,Jawaharlal Nehru,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Jnehru.jpg/100px-Jnehru.jpg,,,15-Nov-1889,28-May-64,Indian National Congress,1957,2
1,Jawaharlal Nehru,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Jnehru.jpg/100px-Jnehru.jpg,,,16-Nov-1889,29-May-64,Indian National Congress,1962,3
2,Gulzarilal Nanda,https://tse2.mm.bing.net/th?id=OIP.M51a2b66a9a3314fa8d51a5551864f726H1&pid=15.1,27-May-64,9 Jun 1964 *,4-Jul-1898,15-Jan-98,Indian National Congress,,4
3,Lal Bahadur Shastri,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Lal_Bahadur_Shastri_%28cropped%29.jpg/100px-Lal_Bahadur_Shastri_%28cropped%29.jpg,9-Jun-64,11 Jan 1966 1,2-Oct-04,11-Jan-66,Indian National Congress,,5
4,Gulzarilal Nanda,https://tse2.mm.bing.net/th?id=OIP.M51a2b66a9a3314fa8d51a5551864f726H1&pid=15.1,11-Jan-66,24 Jan 1966 *,4-Jul-1898,15-Jan-98,Indian National Congress,,6
5,Indira Gandhi,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Indira_Gandhi_1977.jpg/100px-Indira_Gandhi_1977.jpg,24-Jan-66,24-Mar-77,19-Nov-17,31-Oct-84,Indian National Congress,1967,7
5,Indira Gandhi,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Indira_Gandhi_1977.jpg/100px-Indira_Gandhi_1977.jpg,,,20-Nov-17,1-Nov-84,Indian National Congress,1971,8
6,Morarji Desai,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Morarji_Desai_%28portrait%29.png/100px-Morarji_Desai_%28portrait%29.png,24-Mar-77,28 Jul 1979 4,29-Feb-1896,10-Apr-95,Janata Party,1977,9
7,Ch. Charan Singh,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Charan_Singh_%28cropped%29.jpg/100px-Charan_Singh_%28cropped%29.jpg,28-Jul-79,14 Jan 1980 3,23-Dec-02,29-May-87,Janata Party,,10
8,Indira Gandhi,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Indira_Gandhi_1977.jpg/100px-Indira_Gandhi_1977.jpg,14-Jan-80,31 Oct 1984 1,19-Nov-17,31-Oct-84,Indian National Congress,1980,11
9,Rajiv Gandhi,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Rajiv_Gandhi_%281987%29.jpg/100px-Rajiv_Gandhi_%281987%29.jpg,31-Oct-84,2-Dec-89,20-Aug-44,21-May-91,Indian National Congress (Indira),1984,12
10,Vishwanath Pratap Singh,https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/V._P._Singh_%28cropped%29.jpg/100px-V._P._Singh_%28cropped%29.jpg,2-Dec-89,10 Nov 1990 3,25-Jun-31,27-Nov-08,Janata Dal National Front,1989,13
11,Chandra Shekhar,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Chandra_Shekhar_%28cropped%29.jpg/100px-Chandra_Shekhar_%28cropped%29.jpg,10-Nov-90,21-Jun-91,1-Jul-27,8-Jul-07,Samajwadi Janata Party National Front,,14
12,P. V. Narasimha Rao,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/P_V_Narasimha_Rao.png/100px-P_V_Narasimha_Rao.png,21-Jun-91,16-May-96,28-Jun-21,23-Dec-04,Indian National Congress,1991,15
13,Atal Bihari Vajpayee,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Atal_Bihari_Vajpayee_%28cropped%29.jpg/100px-Atal_Bihari_Vajpayee_%28cropped%29.jpg,16-May-96,1 Jun 1996 3,25-Dec-24,Alive,Bharatiya Janata Party,1996,16
14,H. D. Deve Gowda,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Deve_Gowda_BNC.jpg/100px-Deve_Gowda_BNC.jpg,1-Jun-96,21 Apr 1997 3,18-May-33,Alive,Janata Dal United Front,,17
15,Inder Kumar Gujral,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Inder_Kumar_Gujral_071.jpg/100px-Inder_Kumar_Gujral_071.jpg,21-Apr-97,19-Mar-98,4-Dec-19,Alive,Janata Dal United Front,,18
16,Atal Bihari Vajpayee,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Atal_Bihari_Vajpayee_%28cropped%29.jpg/100px-Atal_Bihari_Vajpayee_%28cropped%29.jpg,19-Mar-98,22-May-04,25-Dec-24,Alive,Bharatiya Janata Party,1998,19
16,Atal Bihari Vajpayee,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Atal_Bihari_Vajpayee_%28cropped%29.jpg/100px-Atal_Bihari_Vajpayee_%28cropped%29.jpg,,,26-Dec-24,Alive,National Democratic Alliance,1999,20
17,Manmohan Singh,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Prime_Minister_Manmohan_Singh_in_WEF_%2C2009_%28cropped%29.jpg/100px-Prime_Minister_Manmohan_Singh_in_WEF_%2C2009_%28cropped%29.jpg,22-May-04,Incumbent,26-Sep-32,Alive,Indian National Congress,2004,21
17,Manmohan Singh,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Prime_Minister_Manmohan_Singh_in_WEF_%2C2009_%28cropped%29.jpg/100px-Prime_Minister_Manmohan_Singh_in_WEF_%2C2009_%28cropped%29.jpg,,,27-Sep-32,Alive,United Progressive Alliance,2009,22
